Nom,Prénom,Groupe,Calcul Numérique,Date ,heure
Nom_Etudiant1,Pnom_Etudiant1,B,"4,286",02/10/14 ,15h28
Nom_Etudiant2,Pnom_Etudiant2,B,"4,286",02/10/14 ,15h28
Nom_Etudiant3,Pnom_Etudiant3,A,"8,571",01/10/14 ,10h42
Nom_Etudiant4,Pnom_Etudiant4,B,"15,714",02/10/14 ,15h28
Nom_Etudiant5,Pnom_Etudiant5,A,"8,571",01/10/14 ,10h42
Nom_Etudiant6,Pnom_Etudiant6,B,"4,286",02/10/14 ,15h28
Nom_Etudiant7,Pnom_Etudiant7,B,"10,000",02/10/14 ,15h28
Nom_Etudiant8,Pnom_Etudiant8,B,"2,857",02/10/14 ,15h28
Nom_Etudiant9,Pnom_Etudiant9,A,"14,286",01/10/14 ,10h42
Nom_Etudiant10,Pnom_Etudiant10,A,"17,143",01/10/14 ,10h42
Nom_Etudiant11,Pnom_Etudiant11,B,"14,286",02/10/14 ,15h28
Nom_Etudiant12,Pnom_Etudiant12,A,"5,714",01/10/14 ,10h42
Nom_Etudiant13,Pnom_Etudiant13,B,"4,286",02/10/14 ,15h28
Nom_Etudiant14,Pnom_Etudiant14,B,"1,429",02/10/14 ,15h28
Nom_Etudiant15,Pnom_Etudiant15,A,,30/09/14 ,16h45
Nom_Etudiant16,Pnom_Etudiant16,A,"10,000",01/10/14 ,10h42
Nom_Etudiant17,Pnom_Etudiant17,A,"11,429",02/10/14 ,08h42
Nom_Etudiant18,Pnom_Etudiant18,A,"2,857",01/10/14 ,10h42
Nom_Etudiant19,Pnom_Etudiant19,A,"12,857",01/10/14 ,10h42
Nom_Etudiant20,Pnom_Etudiant20,B,"4,286",02/10/14 ,15h28
Nom_Etudiant21,Pnom_Etudiant21,B,"12,857",02/10/14 ,15h28
Nom_Etudiant22,Pnom_Etudiant22,B,"10,000",02/10/14 ,15h28
Nom_Etudiant23,Pnom_Etudiant23,A,"15,714",01/10/14 ,13h55
Nom_Etudiant24,Pnom_Etudiant24,A,"11,429",01/10/14 ,13h55
Nom_Etudiant25,Pnom_Etudiant25,B,"10,000",02/10/14 ,15h28
Nom_Etudiant26,Pnom_Etudiant26,B,"2,857",02/10/14 ,15h28
Nom_Etudiant27,Pnom_Etudiant27,A,"20,000",01/10/14 ,10h42
Nom_Etudiant28,Pnom_Etudiant28,B,"4,286",02/10/14 ,15h28
Nom_Etudiant29,Pnom_Etudiant29,B,,02/10/14 ,15h28
Nom_Etudiant30,Pnom_Etudiant30,A,"8,571",01/10/14 ,10h42
Nom_Etudiant31,Pnom_Etudiant31,B,"11,429",02/10/14 ,15h28
Nom_Etudiant32,Pnom_Etudiant32,A,"15,714",01/10/14 ,10h42
Nom_Etudiant33,Pnom_Etudiant33,A,"11,429",01/10/14 ,10h42
Nom_Etudiant34,Pnom_Etudiant34,A,"8,571",01/10/14 ,10h42
Nom_Etudiant35,Pnom_Etudiant35,B,"10,000",02/10/14 ,15h28
Nom_Etudiant36,Pnom_Etudiant36,A,"15,714",01/10/14 ,10h42
Nom_Etudiant37,Pnom_Etudiant37,A,"4,286",01/10/14 ,10h42
Nom_Etudiant38,Pnom_Etudiant38,B,,02/10/14 ,15h28
Nom_Etudiant39,Pnom_Etudiant39,B,"10,000",02/10/14 ,15h28
Nom_Etudiant40,Pnom_Etudiant40,A,"7,143",01/10/14 ,10h42
Nom_Etudiant41,Pnom_Etudiant41,A,"14,286",01/10/14 ,13h55
Nom_Etudiant42,Pnom_Etudiant42,B,"8,571",02/10/14 ,15h28
Nom_Etudiant43,Pnom_Etudiant43,A,"7,143",01/10/14 ,10h42
Nom_Etudiant44,Pnom_Etudiant44,B,"8,571",02/10/14 ,15h28
Nom_Etudiant45,Pnom_Etudiant45,A,"5,714",01/10/14 ,10h42
Nom_Etudiant46,Pnom_Etudiant46,B,"1,429",02/10/14 ,15h28
Nom_Etudiant47,Pnom_Etudiant47,B,"5,714",02/10/14 ,15h28
Nom_Etudiant48,Pnom_Etudiant48,B,"12,857",02/10/14 ,15h28
Nom_Etudiant49,Pnom_Etudiant49,A,"8,571",01/10/14 ,10h42
Nom_Etudiant50,Pnom_Etudiant50,B,"7,143",02/10/14 ,15h28
Nom_Etudiant51,Pnom_Etudiant51,A,"10,000",01/10/14 ,10h42
Nom_Etudiant52,Pnom_Etudiant52,B,"4,286",02/10/14 ,15h28
Nom_Etudiant53,Pnom_Etudiant53,A,"15,714",01/10/14 ,13h55
Nom_Etudiant54,Pnom_Etudiant54,A,"10,000",01/10/14 ,10h42
Nom_Etudiant55,Pnom_Etudiant55,B,"17,143",02/10/14 ,15h28
